"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","Section_0","Section_1","Section_2","Section_3","Section_4","Section_5","Section_10","Section_6","Section_8","Section_9","Section_11","Section_12","Section_13","Section_14","Section_7"
2372626,"Cashier","https://jobs.smartrecruiters.com/PilotCompany/744000040591637-cashier","Pilot Company","Houston","No","Not specified","Full time","2025-02-05T02:31:31.496248Z","Provide guests fast, friendly, and clean serviceMaintain inventoryOperate cash registersMaintain the overall appearance and cleanliness of the restaurantProvide excellent guest service","Required Qualifications","Incredible guest service skills and ability to maintain a guest focused cultureAbility to complete accurate sales transactionsAbility to use computers, telephones, and other equipment as neededAbility to work as part of a team","Preferred Qualifications","Experience in a similar positionAbility to work a flexible schedule of nights, days, weekends, and holidays","Wellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available",,,,,,,,,
2372625,"Cashier","https://jobs.smartrecruiters.com/PilotCompany/744000040594285-cashier","Pilot Company","San Diego","No","Not specified","Full time","2025-02-05T02:31:31.496285Z","Provide guests fast, friendly, and clean serviceMaintain inventoryOperate cash registersMaintain the overall appearance and cleanliness of the restaurantProvide excellent guest service","Required Qualifications","Incredible guest service skills and ability to maintain a guest focused cultureAbility to complete accurate sales transactionsAbility to use computers, telephones, and other equipment as neededAbility to work as part of a team","Preferred Qualifications","Experience in a similar positionAbility to work a flexible schedule of nights, days, weekends, and holidays","Wellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available",,,,,,,,,
2372624,"Cashier","https://jobs.smartrecruiters.com/PilotCompany/744000040594365-cashier","Pilot Company","Anthony","No","Not specified","Part time","2025-02-05T02:31:31.496323Z","Provide guests fast, friendly, and clean serviceMaintain inventoryOperate cash registersMaintain the overall appearance and cleanliness of the restaurantProvide excellent guest service","Required Qualifications","Incredible guest service skills and ability to maintain a guest focused cultureAbility to complete accurate sales transactionsAbility to use computers, telephones, and other equipment as neededAbility to work as part of a team","Preferred Qualifications","Experience in a similar positionAbility to work a flexible schedule of nights, days, weekends, and holidays","Wellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available",,,,,,,,,
2372623,"Cashier","https://jobs.smartrecruiters.com/PilotCompany/744000040596327-cashier","Pilot Company","Benton Harbor","No","Not specified","Part time","2025-02-05T02:31:31.496362Z","Provide guests fast, friendly, and clean serviceMaintain inventoryOperate cash registersMaintain the overall appearance and cleanliness of the restaurantProvide excellent guest service","Required Qualifications","Incredible guest service skills and ability to maintain a guest focused cultureAbility to complete accurate sales transactionsAbility to use computers, telephones, and other equipment as neededAbility to work as part of a team","Preferred Qualifications","Experience in a similar positionAbility to work a flexible schedule of nights, days, weekends, and holidays","Wellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available",,,,,,,,,
2372622,"Moe's Team Member","https://jobs.smartrecruiters.com/PilotCompany/744000040596878-moe-s-team-member","Pilot Company","Moss Point","No","Not specified","Part time","2025-02-05T02:31:31.496397Z","Provide guests fast, friendly, and clean serviceMaintain inventoryManage and prep food safelyEnsure top-notch quality in all our food productsOperate cash registersMaintain the overall appearance and cleanliness of the restaurantProvide excellent guest service","Required Qualifications","Incredible guest service skills and ability to maintain a guest focused cultureAbility to complete accurate sales transactionsAbility to cleanly and safely manage and prep foodAbility to maintain Moe's processes and policiesAbility to use computers, telephones, and other equipment as neededAbility to work as part of a team","Preferred Qualifications","Experience in a similar positionAbility to work a flexible schedule of nights, days, weekends, and holidays","Wellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available",,,,,,,,,
2372621,"Moe's Cashier","https://jobs.smartrecruiters.com/PilotCompany/744000040595827-moe-s-cashier","Pilot Company","Moss Point","No","Not specified","Part time","2025-02-05T02:31:31.496435Z","Provide guests fast, friendly, and clean serviceMaintain inventoryOperate cash registersMaintain the overall appearance and cleanliness of the restaurantProvide excellent guest service","Required Qualifications","Incredible guest service skills and ability to maintain a guest focused cultureAbility to complete accurate sales transactionsAbility to cleanly and safely manage and prep foodAbility to maintain Moe's processes and policiesAbility to use computers, telephones, and other equipment as neededAbility to work as part of a team","Preferred Qualifications","Experience in a similar positionAbility to work a flexible schedule of nights, days, weekends, and holidays","Wellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available",,,,,,,,,
2372620,"Supervisor, Regional Facility Services","https://jobs.smartrecruiters.com/PilotCompany/744000040597979-supervisor-regional-facility-services","Pilot Company","Louisville","No","5","Full time","2025-02-05T02:31:31.496474Z","The purpose of this job is to manage, lead, and direct regional maintenance technicians (RMTs) and oversee the completion of facility maintenance tasks.","1. Oversee, lead, and set priorities for RMTs","2. Select, coach, train, and develop direct reports, to include appraising job performance in conducting performance reviews","3. Communicate and execute company objectives provided by maintenance leadership","4. Review and analyze facility and environmental checklists for accuracy and completion provide coaching or direction for discrepancies","5. Create monthly RMT schedule ensure facilities have RMT coverage provide maintenance assistance or coverage where needed","10. Model behaviors that support the companys common purpose ensure guests and team members are supported at the highest level","6. Resolve escalated facility maintenance disputes and discrepancies","8. Respond to after-hours emergency dispatch requests","9. Provide and schedule on-site training for maintenance team members at new store openings and acquisitions","11. Ensure all activities are in compliance with rules, regulations, policies, and procedures","12. Complete other duties as assigned","High school diploma or equivalent certificate required trade or vocational school preferred Minimum five years experience in preventive maintenance requiredValid state drivers license requiredClass B environmental certifications required post hireMinimum five years experience managing others preferredIntermediate Microsoft Office skillsPrior experience with electrical, plumbing, and HVAC systemsBasic understanding of construction practicesAbility to lead, coach, and motivate team membersStrong analytical and problem solving skillsExcellent listening, written and verbal interpersonal communication skillsIntermediate mathematical skillsStrong attention to detailAbility to work in complex, fast-paced environmentAbility to navigate change and ambiguityAbility to multitaskAbility to collaborate with other team members and departmentsGeneral office work requiring sitting or standing for long periods of timeAble to lift up to 50 poundsWork with electric and fuel systemsExposure to various weather conditions and temperaturesAble to bend, stoop, twist, and crawlClimb laddersTravel required greater than 75%","Medical, Dental,  Vision Insurance401kWeekly PayAdoption AssistanceTuition Reimbursement","7. Audit and approve expense reports, purchase cards, time sheets, GPS records, and work orders"
2372619,"Cashier","https://jobs.smartrecruiters.com/PilotCompany/744000040598606-cashier","Pilot Company","Baldwin","No","Not specified","Part time","2025-02-05T02:31:31.496517Z","Provide guests fast, friendly, and clean serviceMaintain inventoryOperate cash registersMaintain the overall appearance and cleanliness of the restaurantProvide excellent guest service","Required Qualifications","Incredible guest service skills and ability to maintain a guest focused cultureAbility to complete accurate sales transactionsAbility to use computers, telephones, and other equipment as neededAbility to work as part of a team","Preferred Qualifications","Experience in a similar positionAbility to work a flexible schedule of nights, days, weekends, and holidays","Wellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available",,,,,,,,,
2372618,"Taco Bell Team Member","https://jobs.smartrecruiters.com/PilotCompany/744000040595106-taco-bell-team-member","Pilot Company","Blacksburg","No","Not specified","Part time","2025-02-05T02:31:31.496552Z","Provide guests fast, friendly, and clean serviceMaintain inventoryManage and prep food safelyEnsure top-notch quality in all our food productsOperate cash registersMaintain the overall appearance and cleanliness of the restaurantProvide excellent guest service","Required Qualifications","Incredible guest service skills and ability to maintain a guest focused cultureAbility to complete accurate sales transactionsAbility to cleanly and safely manage and prep foodAbility to maintain Taco Bell processes and policiesAbility to use computers, telephones, and other equipment as neededAbility to work as part of a team","Preferred Qualifications","Experience in a similar positionAbility to work a flexible schedule of nights, days, weekends, and holidays","Wellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available",,,,,,,,,
2372617,"Subway Sandwich Artist","https://jobs.smartrecruiters.com/PilotCompany/744000040598918-subway-sandwich-artist","Pilot Company","Haubstadt","No","Not specified","Part time","2025-02-05T02:31:31.496589Z","Provide guests fast, friendly, and clean serviceMaintain inventoryManage and prep food safelyEnsure top-notch quality in all our food productsOperate cash registersMaintain the overall appearance and cleanliness of the restaurantProvide excellent guest service","Required Qualifications","Incredible guest service skills and ability to maintain a guest focused cultureAbility to complete accurate sales transactionsAbility to cleanly and safely manage and prep foodAbility to maintain Subway processes and policiesAbility to use computers, telephones, and other equipment as neededAbility to work as part of a team","Preferred Qualifications","Experience in a similar positionAbility to work a flexible schedule of nights, days, weekends, and holidays","Wellness ProgramReward and Recognition ProgramProfessional development401(k) retirement savings planPaid parental leaveAdoption AssistanceFlexible ScheduleFull and Part Time positions available",,,,,,,,,
